Month	Day	Year	T_avg	T_max	T_min	RH_avg	RH_max	RH_min	Precip	SVP	AVP	VPD
9	20	1992	20.2	33.3	10	46	63	20	0	2.367	1.089	1.278
9	21	1992	21.2	35	11.7	48	71	20	0	2.518	1.209	1.309
9	22	1992	21.8	32.2	12.8	41	61	21	0	2.612	1.071	1.541
9	23	1992	20.1	29.4	13.3	46	65	25	0	2.353	1.082	1.271
9	24	1992	16.9	27.2	10	54	87	28	0	1.925	1.040	0.886
9	25	1992	20.4	33.9	12.8	27	40	13	0	2.397	0.647	1.750
9	26	1992	20.7	33.9	12.2	33	49	14	0	2.442	0.806	1.636
9	27	1992	21.3	34.4	11.1	39	55	17	0	2.533	0.988	1.545
9	28	1992	20.8	35.6	11.1	42	60	16	0	2.457	1.032	1.425
9	29	1992	20.7	35.6	12.2	42	59	15	0	2.442	1.025	1.416
9	30	1992	18.6	28.9	11.7	59	95	33	0	2.143	1.264	0.879
10	1	1992	16.9	20.6	13.3	76	92	58	0	1.925	1.463	0.462
10	2	1992	11.7	15.6	6.1	75	97	48	0	1.375	1.031	0.344
10	3	1992	13.1	24.4	3.9	68	100	34	0	1.508	1.025	0.482
10	4	1992	17.1	27.8	9.4	55	78	30	0	1.950	1.073	0.878
10	5	1992	16.5	29.4	8.9	56	79	25	0	1.877	1.051	0.826
10	6	1992	20.1	32.2	11.1	29	56	15	0	2.353	0.682	1.670
10	7	1992	17.7	31.7	8.9	34	52	15	0	2.025	0.689	1.337
10	8	1992	18.2	30.6	10	41	63	19	0	2.090	0.857	1.233
10	9	1992	19.6	33.3	8.9	37	57	17	0	2.281	0.844	1.437
10	10	1992	20.1	32.8	12.8	39	57	16	0	2.353	0.918	1.435
10	11	1992	19.6	35	11.1	44	62	17	0	2.281	1.004	1.277
10	12	1992	18.6	32.2	10.6	46	61	19	0	2.143	0.986	1.157
10	13	1992	16.9	29.4	9.4	52	73	23	0	1.925	1.001	0.924
10	14	1992	13.8	25	6.7	67	96	33	0	1.578	1.057	0.521
10	15	1992	13.2	23.3	5	71	100	39	0	1.517	1.077	0.440
10	16	1992	13.1	24.4	6.1	72	97	37	0	1.508	1.085	0.422
10	17	1992	13.6	26.1	5.6	73	97	34	0	1.558	1.137	0.421
10	18	1992	13	23.3	6.7	73	95	37	0	1.498	1.093	0.404
10	19	1992	13.1	25	5	70	99	29	0	1.508	1.055	0.452
10	20	1992	14.2	23.9	5.6	75	100	40	35.81	1.619	1.215	0.405
10	21	1992	12.3	19.4	6.1	94	100	64	14.48	1.431	1.345	0.086
10	22	1992	12.1	26.1	4.4	85	100	41	0	1.412	1.200	0.212
10	23	1992	14	28.3	6.7	77	98	27	0	1.599	1.231	0.368
10	24	1992	12.3	22.8	7.2	81	97	51	0	1.431	1.159	0.272
10	25	1992	13.7	23.3	8.3	85	100	44	0	1.568	1.333	0.235
10	26	1992	13.4	25	8.3	89	100	47	0	1.537	1.368	0.169
10	27	1992	14.2	24.4	9.4	88	100	45	0	1.619	1.425	0.194
10	28	1992	11.7	15	8.9	96	100	84	2.29	1.375	1.320	0.055
10	29	1992	9.3	10	8.3	100	100	100	59.94	1.172	1.172	0.000
10	30	1992	9.9	11.7	8.9	97	100	84	20.83	1.220	1.183	0.037
10	31	1992	9.8	11.1	8.9	100	100	97	4.06	1.212	1.212	0.000
11	1	1992	11.7	15.6	8.9	99	100	94	5.84	1.375	1.361	0.014
11	2	1992	13.1	22.2	8.9	92	100	64	0	1.508	1.387	0.121
11	3	1992	11.4	20	7.2	59	91	32	0	1.348	0.795	0.553
11	4	1992	10.3	18.9	5	81	100	49	0	1.253	1.015	0.238
11	5	1992	12.1	23.9	6.1	85	100	40	0	1.412	1.200	0.212
11	6	1992	10.8	22.8	4.4	85	100	40	0	1.295	1.101	0.194
11	7	1992	11.1	21.1	5.6	87	100	49	0	1.321	1.150	0.172
11	8	1992	7.2	16.7	0	81	97	51	0	1.016	0.823	0.193
11	9	1992	5.2	16.1	-2.8	59	88	24	0	0.885	0.522	0.363
11	10	1992	6.6	17.8	-1.7	49	77	25	0	0.975	0.478	0.497
11	11	1992	5	17.8	-2.2	70	100	26	0	0.872	0.611	0.262
11	12	1992	7.8	21.1	0	83	100	38	0	1.058	0.878	0.180
11	13	1992	9.5	23.3	2.2	85	100	40	0	1.187	1.009	0.178
11	14	1992	10.2	25	3.3	84	100	33	0	1.245	1.045	0.199
11	15	1992	10.2	23.3	3.9	77	95	28	0	1.245	0.958	0.286
11	16	1992	8.5	19.4	3.3	82	100	31	0	1.110	0.910	0.200
11	17	1992	7.1	15.6	2.8	92	100	63	0	1.009	0.928	0.081
11	18	1992	8.2	20	2.8	76	100	37	0	1.087	0.826	0.261
11	19	1992	4.7	8.3	-0.6	89	100	57	0	0.854	0.760	0.094
11	20	1992	3.6	13.3	-1.7	72	100	31	0	0.791	0.569	0.221
11	21	1992	5	10	0.6	74	100	44	0	0.872	0.646	0.227
11	22	1992	4.9	11.1	-0.6	97	100	82	0	0.866	0.840	0.026
11	23	1992	3.4	13.9	-2.2	79	100	40	0	0.780	0.616	0.164
11	24	1992	4	11.1	-1.1	84	100	55	0	0.813	0.683	0.130
11	25	1992	8	17.2	3.3	88	100	52	3.3	1.073	0.944	0.129
11	26	1992	8.1	16.7	2.2	88	100	49	0	1.080	0.950	0.130
11	27	1992	8.1	16.1	2.2	94	100	55	5.84	1.080	1.015	0.065
11	28	1992	6.9	16.7	0	68	100	33	0	0.995	0.677	0.318
11	29	1992	5.7	18.9	0	74	96	36	0	0.916	0.678	0.238
11	30	1992	5.6	17.2	-1.1	78	98	33	0	0.910	0.709	0.200
12	1	1992	6.6	15	2.8	88	100	58	0	0.975	0.858	0.117
12	2	1992	4.5	7.8	1.1	84	100	53	25.4	0.842	0.708	0.135
12	3	1992	7	15	3.3	77	100	50	10.41	1.002	0.771	0.230
12	4	1992	6	16.7	0.6	45	83	24	0	0.935	0.421	0.514
12	5	1992	2.7	10	-3.9	70	93	49	0	0.742	0.519	0.223
12	6	1992	5.2	6.7	2.2	98	100	77	110	0.885	0.867	0.018
12	7	1992	3.4	6.1	0.6	99	100	93	29.46	0.780	0.772	0.008
12	8	1992	3.4	6.7	-0.6	100	100	99	152.4	0.780	0.780	0.000
12	9	1992	8.4	10	6.7	100	100	100	156.7	1.102	1.102	0.000
12	10	1992	7.2	9.4	3.9	100	100	100	128	1.016	1.016	0.000
12	11	1992	3.6	5	1.7	99	100	93	30.99	0.791	0.783	0.008
12	12	1992	2.2	10	-1.1	94	100	71	1.52	0.716	0.673	0.043
12	13	1992	3.1	12.8	-2.2	76	100	41	0	0.763	0.580	0.183
12	14	1992	3.8	13.9	-1.7	87	100	52	0.25	0.802	0.698	0.104
12	15	1992	3.3	13.3	-2.2	71	100	32	0	0.774	0.550	0.224
12	16	1992	3.2	6.1	-1.7	70	85	58	0	0.769	0.538	0.231
12	17	1992	0.4	2.2	-3.9	100	100	91	19.05	0.629	0.629	0.000
12	18	1992	-1.3	9.4	-5.6	93	100	67	0	0.555	0.516	0.039
12	19	1992	0	7.8	-5	86	100	53	0	0.611	0.525	0.086
12	20	1992	2.7	6.7	0.6	97	100	79	2.29	0.742	0.720	0.022
12	21	1992	2.7	6.7	-0.6	99	100	95	0.25	0.742	0.734	0.007
12	22	1992	4.1	16.1	-2.2	81	100	44	0	0.819	0.663	0.156
12	23	1992	6.4	20.6	-0.6	73	100	34	0	0.961	0.702	0.260
12	24	1992	6.6	18.9	-1.7	68	100	35	0	0.975	0.663	0.312
12	25	1992	5.1	19.4	-1.1	71	95	22	0	0.878	0.624	0.255
12	26	1992	3.3	15	-1.7	75	95	24	0	0.774	0.581	0.194
12	27	1992	4	9.4	-1.7	75	92	47	0	0.813	0.610	0.203
12	28	1992	3.2	5	1.7	96	100	70	83.06	0.769	0.738	0.031
12	29	1992	1.5	2.8	0	100	100	97	14.99	0.681	0.681	0.000
12	30	1992	1.1	4.4	0	98	100	87	16	0.661	0.648	0.013
12	31	1992	2.2	3.9	0.6	99	100	87	62.99	0.716	0.709	0.007
1	1	1993	1.9	5	-1.7	100	100	94	58.67	0.701	0.701	0.000
1	2	1993	-1.1	7.2	-5	91	100	58	0	0.564	0.513	0.051
1	3	1993	-1.2	7.8	-5.6	77	100	36	0	0.559	0.431	0.129
1	4	1993	-0.3	6.7	-6.1	79	100	38	0	0.598	0.472	0.125
1	5	1993	-0.3	5.6	-5	81	100	42	0	0.598	0.484	0.114
1	6	1993	3.5	7.2	1.7	100	100	100	37.34	0.785	0.785	0.000
1	7	1993	5.2	8.3	2.2	100	100	99	47.24	0.885	0.885	0.000
1	8	1993	2.8	4.4	0.6	100	100	100	18.29	0.747	0.747	0.000
1	9	1993	1.8	3.3	0.6	98	100	92	5.84	0.696	0.682	0.014
1	10	1993	1.5	5.6	-1.7	94	100	72	10.41	0.681	0.640	0.041
1	11	1993	-0.4	3.3	-3.9	92	100	70	0	0.593	0.546	0.047
1	12	1993	0.3	5	-3.9	94	100	61	16.51	0.624	0.587	0.037
1	13	1993	8.2	9.4	3.9	100	100	95	79.5	1.087	1.087	0.000
1	14	1993	4.5	7.8	-1.1	95	100	77	12.19	0.842	0.800	0.042
1	15	1993	4.3	8.3	-0.6	99	100	87	31.75	0.831	0.822	0.008
1	16	1993	6	13.3	1.7	93	100	59	2.54	0.935	0.870	0.065
1	17	1993	4.3	6.1	1.7	100	100	97	19.3	0.831	0.831	0.000
1	18	1993	5.4	10.6	1.1	97	100	81	1.78	0.897	0.870	0.027
1	19	1993	4.7	5.6	2.8	100	100	96	22.61	0.854	0.854	0.000
1	20	1993	7.2	8.3	5.6	100	100	100	138.9	1.016	1.016	0.000
1	21	1993	8.6	10	6.7	100	100	100	59.18	1.117	1.117	0.000
1	22	1993	6.8	12.8	4.4	86	100	53	0	0.988	0.850	0.138
1	23	1993	5.8	12.8	-1.1	82	100	53	0	0.922	0.756	0.166
1	24	1993	6.5	21.7	-1.7	80	100	32	0	0.968	0.774	0.194
1	25	1993	9	21.1	-1.1	70	100	23	0	1.148	0.804	0.344
1	26	1993	7.8	22.8	-1.1	76	100	27	0	1.058	0.804	0.254
1	27	1993	6.4	19.4	0	78	100	24	0	0.961	0.750	0.211
1	28	1993	6.5	18.3	0	72	100	31	0	0.968	0.697	0.271
1	29	1993	7.4	15	2.8	49	62	32	0	1.030	0.505	0.525
1	30	1993	8.4	15.6	3.9	42	54	25	0	1.102	0.463	0.639
1	31	1993	6	13.9	-0.6	68	96	43	0	0.935	0.636	0.299
2	1	1993	5.1	14.4	-1.7	82	100	41	0	0.878	0.720	0.158
2	2	1993	6.4	17.2	-1.7	79	100	29	0	0.961	0.759	0.202
2	3	1993	7.5	15	2.2	74	92	37	0	1.037	0.767	0.270
2	4	1993	10.8	21.7	2.2	61	86	26	0	1.295	0.790	0.505
2	5	1993	7.7	11.1	3.9	94	100	53	12.95	1.051	0.988	0.063
2	6	1993	7.6	15.6	2.8	92	100	57	0	1.044	0.960	0.084
2	7	1993	8.1	15.6	2.2	89	100	56	5.33	1.080	0.961	0.119
2	8	1993	7.8	9.4	5.6	100	100	99	48.77	1.058	1.058	0.000
2	9	1993	4.9	6.1	3.9	100	100	96	24.89	0.866	0.866	0.000
2	10	1993	5.9	10	2.8	92	100	71	12.95	0.929	0.854	0.074
2	11	1993	5	8.3	0	94	100	77	7.11	0.872	0.820	0.052
2	12	1993	1.1	7.2	-1.1	98	100	77	0	0.661	0.648	0.013
2	13	1993	4	15.6	-2.2	83	100	29	0	0.813	0.675	0.138
2	14	1993	5.3	17.8	-0.6	72	100	25	0	0.891	0.641	0.249
2	15	1993	3.7	9.4	-1.7	83	99	54	1.02	0.796	0.661	0.135
2	16	1993	2.7	5	0.6	84	100	61	2.29	0.742	0.623	0.119
2	17	1993	4.9	8.3	0.6	100	100	100	51.05	0.866	0.866	0.000
2	18	1993	7.7	8.9	5.6	100	100	100	34.04	1.051	1.051	0.000
2	19	1993	5.6	8.9	0.6	98	100	85	40.64	0.910	0.891	0.018
2	20	1993	1.5	2.8	0.6	94	100	10	4.57	0.681	0.640	0.041
2	21	1993	3.2	5.6	1.7	97	100	81	0.51	0.769	0.746	0.023
2	22	1993	4.3	6.1	2.8	97	100	79	11.94	0.831	0.806	0.025
2	23	1993	3	5	0.6	100	100	99	39.62	0.758	0.758	0.000
2	24	1993	1.5	6.7	-1.7	88	100	47	1.52	0.681	0.599	0.082
2	25	1993	1.9	8.3	-1.7	86	100	51	0	0.701	0.603	0.098
2	26	1993	2.8	7.8	0.6	85	100	63	2.03	0.747	0.635	0.112
2	27	1993	6	15	-0.6	60	87	34	0.25	0.935	0.561	0.374
2	28	1993	4.5	12.8	-2.2	81	100	47	0	0.842	0.682	0.160
3	1	1993	5.8	13.3	-1.7	87	100	53	0	0.922	0.802	0.120
3	2	1993	8.4	16.1	1.7	87	100	56	0.25	1.102	0.959	0.143
3	3	1993	8.9	15.6	3.9	88	100	55	1.27	1.140	1.003	0.137
3	4	1993	8.2	18.3	1.7	87	100	51	0	1.087	0.946	0.141
3	5	1993	11.5	25	2.8	78	100	43	0	1.357	1.058	0.299
3	6	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
3	7	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
3	8	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
3	9	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
3	10	1993	-17.5	-16.7	-17.8	100	100	100	0	0.154	0.154	0.000
3	11	1993	11.6	23.3	-17.8	68	100	37	0	1.366	0.929	0.437
3	12	1993	12.5	21.1	6.1	75	100	44	0.25	1.449	1.087	0.362
3	13	1993	13.3	21.7	10	84	100	41	0.76	1.527	1.283	0.244
3	14	1993	9.8	13.3	8.3	98	100	80	13.72	1.212	1.187	0.024
3	15	1993	10.5	13.9	7.8	92	100	73	0	1.270	1.168	0.102
3	16	1993	10.5	13.9	8.3	93	100	72	28.96	1.270	1.181	0.089
3	17	1993	10.1	11.7	8.3	100	100	99	51.56	1.236	1.236	0.000
3	18	1993	8.3	8.3	8.3	100	100	100	7.11	1.095	1.095	0.000
3	19	1993	12.2	18.3	6.1	84	100	55	0.51	1.421	1.194	0.227
3	20	1993	10.7	21.7	3.9	83	100	45	0	1.287	1.068	0.219
3	21	1993	11.3	21.1	2.8	83	100	42	0	1.339	1.111	0.228
3	22	1993	12.6	22.2	4.4	81	100	45	0	1.459	1.182	0.277
3	23	1993	9.2	11.1	7.2	100	100	92	61.98	1.164	1.164	0.000
3	24	1993	8.3	12.2	5.6	84	100	51	13.72	1.095	0.920	0.175
3	25	1993	6.5	10.6	5	98	100	86	9.65	0.968	0.949	0.019
3	26	1993	6.9	10.6	2.2	97	100	84	7.62	0.995	0.965	0.030
3	27	1993	5.4	8.3	1.7	97	100	85	2.79	0.897	0.870	0.027
3	28	1993	7.9	12.8	4.4	94	100	76	0.25	1.065	1.002	0.064
3	29	1993	7.9	11.7	6.7	98	100	83	0	1.065	1.044	0.021
3	30	1993	10.6	16.7	5.6	88	100	64	0	1.278	1.125	0.153
3	31	1993	10.1	17.2	5.6	91	100	63	27.94	1.236	1.125	0.111
4	1	1993	6.7	11.7	2.8	90	100	66	0.25	0.981	0.883	0.098
4	2	1993	8.2	16.1	1.1	84	100	51	0	1.087	0.913	0.174
4	3	1993	12.8	16.1	9.4	82	100	64	0	1.478	1.212	0.266
4	4	1993	8.2	11.1	4.4	91	100	65	3.05	1.087	0.990	0.098
4	5	1993	5.9	13.9	0.6	82	100	42	0	0.929	0.761	0.167
4	6	1993	7.5	16.1	-0.6	78	100	38	0	1.037	0.809	0.228
4	7	1993	10.4	20	1.1	77	100	39	0	1.261	0.971	0.290
4	8	1993	9.9	16.7	4.4	90	100	63	22.86	1.220	1.098	0.122
4	9	1993	9.3	13.9	4.4	82	100	55	0	1.172	0.961	0.211
4	10	1993	8.8	13.3	4.4	81	100	49	0	1.133	0.917	0.215
4	11	1993	8.1	16.1	0.6	65	100	35	0	1.080	0.702	0.378
4	12	1993	9.8	20.6	1.1	54	96	21	0	1.212	0.654	0.557
4	13	1993	9.2	18.9	1.7	66	97	27	0	1.164	0.768	0.396
4	14	1993	11.2	20	1.7	68	100	37	0	1.330	0.905	0.426
4	15	1993	13.1	15	8.9	70	91	57	0	1.508	1.055	0.452
4	16	1993	15.2	17.2	10	55	86	37	0	1.727	0.950	0.777
4	17	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
4	18	1993	-9999	-9999	-9999	-9999	-9999	-9999	-9999	29409718.514	-2940677754.248	NA
4	19	1993	10.9	20.6	2.2	74	100	24	49.28	1.304	0.965	0.339
4	20	1993	17.7	21.7	13.3	54	77	32	0	2.025	1.094	0.932
4	21	1993	17.8	18.3	16.7	56	63	44	0	2.038	1.141	0.897
4	22	1993	10.4	16.7	3.3	74	100	45	0	1.261	0.933	0.328
4	23	1993	6.5	8.9	2.8	99	100	96	6.1	0.968	0.958	0.010
4	24	1993	10.8	18.3	6.1	88	100	55	0	1.295	1.140	0.155
4	25	1993	12.4	20.6	5.6	77	100	41	0	1.440	1.109	0.331
4	26	1993	11.4	19.4	4.4	77	100	48	0	1.348	1.038	0.310
4	27	1993	13.1	24.4	3.9	71	100	36	0	1.508	1.070	0.437
4	28	1993	15.9	27.2	5.6	64	99	28	0	1.807	1.156	0.650
4	29	1993	17.1	27.8	8.3	66	97	35	0	1.950	1.287	0.663
4	30	1993	17.5	27.8	7.2	54	90	29	0	2.000	1.080	0.920
5	1	1993	17.2	27.2	8.9	58	97	29	0	1.962	1.138	0.824
5	2	1993	16.9	24.4	8.3	67	100	35	0	1.925	1.290	0.635
5	3	1993	10.6	14.4	5.6	85	100	60	13.72	1.278	1.086	0.192
